Stock Symbol,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Total Score,Rank
GODREJPROP,Midcap,2201.15,41.98,0.95,33.21,49.92,2097.05,3402.7,14.97,109.55,38.7,0.25,0.23,1.4,13.53,-0.08,103.41,5.37,1.22,,3351.83,8,10,10,10,10,10,2,6,6,2,7.5,18.0
SUNDARMFIN,Midcap,4409.6,31.03,0.51,47.35,142.12,3462.0,5535.85,23.4,3.95,40.41,,7.16,7.17,14.16,2.78,71.65,3.89,3.82,,4415.22,10,4,10,4,8,10,0,6,2,4,6.0,35.0
AUROPHARMA,Midcap,1154.4,19.19,0.63,41.37,61.31,958.5,1592.0,12.41,54.79,11.82,21.11,0.85,1.83,12.13,6.77,58.35,2.22,0.27,,1535.25,8,10,10,10,8,4,8,6,10,6,8.0,12.0
ABCAPITAL,Midcap,165.1,11.59,1.22,31.81,14.25,163.35,246.9,15.35,-32.36,12.95,,93.69,120.13,13.52,1.68,32.29,1.5,3.99,,263.0,8,1,10,10,6,6,0,6,2,4,5.35,40.0
APLAPOLLO,Midcap,1482.15,66.34,0.79,51.43,22.86,1305.0,1728.95,12.19,-10.96,3.18,5.43,0.61,1.34,22.16,9.8,2.07,,0.27,,1771.27,8,1,8,6,8,2,4,8,10,8,5.85,36.0
SAIL,Midcap,103.43,16.91,1.68,37.06,6.12,99.66,175.35,-7.63,-21.6,2.53,10.49,0.15,0.88,4.45,2.58,50.62,0.74,0.72,,112.27,2,1,10,4,4,2,4,2,8,4,3.6500000000000004,49.0
ASHOKLEY,Midcap,203.46,22.07,0.83,37.77,8.94,157.55,264.65,4.04,23.17,5.65,18.23,0.41,1.15,23.31,7.39,33.01,5.63,3.33,,253.05,4,8,10,8,10,4,8,8,2,8,6.999999999999999,25.0
MAXHEALTH,Midcap,1031.75,94.37,0.27,39.25,10.84,706.45,1227.95,20.06,6.57,17.63,26.42,1.16,1.26,12.72,7.05,73.79,,0.2,,1103.81,10,6,10,4,4,6,10,6,10,8,7.499999999999999,19.0
LTF,Midcap,139.9,13.82,1.27,44.74,10.24,129.2,194.25,10.42,12.34,32.27,,2.09,2.12,10.27,2.22,-17.4,1.45,3.49,,178.71,8,6,10,8,6,10,0,6,2,4,6.299999999999999,31.0
PETRONET,Midcap,303.15,12.8,0.54,36.8,24.29,253.4,384.2,-0.44,3.93,6.93,9.39,2.72,3.1,22.36,11.57,55.49,2.46,0.15,,331.34,2,4,10,4,8,4,4,8,10,10,5.8,37.0
OFSS,Midcap,9299.0,35.13,0.46,28.61,262.84,6381.0,13220.0,9.22,6.89,33.9,44.56,5.48,6.1,30.74,19.61,203.77,,0.0,,11400.0,6,6,4,8,4,10,10,10,10,10,7.7,15.0
PERSISTENT,Midcap,5878.9,71.06,0.73,43.89,85.3,3232.05,6788.9,19.17,27.23,11.66,16.23,1.55,1.89,24.51,12.43,75.02,15.26,0.08,,6117.71,8,10,10,4,8,4,6,8,10,10,7.800000000000002,14.0
PIIND,Midcap,3387.35,28.8,0.68,30.19,117.02,3254.55,4804.05,10.02,18.69,22.39,27.62,2.73,3.46,20.26,10.77,34.62,,0.02,,4418.96,8,8,10,10,8,8,10,8,10,10,8.9,3.0
OBEROIRLTY,Midcap,1696.35,23.74,0.67,25.92,70.97,1273.6,2343.65,31.59,59.41,47.34,59.96,0.68,3.89,14.79,7.78,60.15,4.14,0.14,,2067.75,10,10,4,8,8,10,10,6,10,8,8.500000000000002,7.0
INDUSTOWER,Midcap,350.35,9.34,0.35,49.95,37.37,206.35,460.35,5.07,80.45,33.82,60.73,0.91,1.44,34.76,15.72,68.1,2.84,0.63,,409.5,6,10,10,6,4,10,10,10,8,10,8.600000000000001,6.0
HDFCAMC,Midcap,3877.8,33.69,0.75,31.99,110.24,3406.3,4864.0,31.73,32.39,60.8,81.0,27.16,27.32,29.47,22.04,31.18,11.68,,,4717.8,10,10,10,8,8,10,10,10,0,10,9.2,2.0
CGPOWER,Midcap,595.45,102.21,1.39,33.21,9.43,420.25,874.7,17.0,31.84,16.38,12.97,1.19,1.71,30.1,11.48,71.79,25.8,0.01,,773.0,8,10,10,8,6,6,6,10,10,10,8.5,8.0
SUZLON,Midcap,50.14,71.45,1.37,27.73,0.7,35.5,86.04,32.82,52.73,12.24,15.29,0.72,1.71,23.7,8.7,239.43,14.91,0.06,,75.0,10,10,4,10,6,6,6,8,10,8,8.0,13.0
IDEA,Midcap,9.04,,0.64,54.71,-4.92,6.61,19.18,0.48,,-66.28,25.5,0.32,0.64,,-1.52,27.33,,,,8.05,2,0,8,2,8,2,10,0,0,2,3.1000000000000005,50.0
SUPREMEIND,Midcap,3546.3,44.09,0.78,20.84,80.43,3528.05,6460.0,7.22,-4.89,9.8,14.22,1.41,2.58,22.49,12.87,3.47,8.49,0.01,,4763.67,6,1,4,10,8,4,6,8,10,10,6.1499999999999995,33.0
IDFCFIRSTB,Midcap,58.61,21.57,0.94,30.81,2.65,57.25,86.1,8.74,-40.63,,,,,5.87,1.1,-26.41,,,,67.16,6,1,10,6,10,0,0,4,0,4,3.9499999999999997,47.0
AUBANK,Midcap,563.45,20.76,0.96,43.4,27.14,534.45,755.4,33.44,14.67,,,,,13.04,1.54,-20.98,2.61,,,667.0,10,6,10,6,10,0,0,6,0,4,5.5,39.0
