Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Price and Metrics
LUPIN,Lupin Limited,Midcap,"2,067.60",32.88,0.59,42.72,62.70,"1,493.30","2,402.90",15.19%,97.05%,12.26%,21.46%,1.01,1.88,18.27%,9.52%,87.33%,,0.22,hold,2270.8823,Neutral,
VOLTAS,Voltas Limited,Midcap,"1,292.65",59.71,0.44,32.94,21.65,"1,023.95","1,944.90",32.16%,156.66%,4.83%,6.59%,0.91,1.34,4.37%,2.54%,82.96%,6.81,0.14,buy,1553.7648,Neutral,
UPL,UPL Limited,Midcap,610.70,,1.05,60.24,-1.20,429.52,649.45,-0.98%,-,-0.21%,12.05%,0.95,1.46,-5.51%,1.96%,-4.12%,,1.05,buy,666.13074,Neutral,
GODREJPROP,Godrej Properties Limited,Midcap,"2,025.95",38.1,0.97,34.11,53.17,"2,025.95","3,402.70",29.84%,121.92%,35.23%,1.61%,0.25,1.43,7.63%,-0.30%,49.92%,5.19,1.22,buy,3144.611,Neutral,
SUNDARMFIN,Sundaram Finance Limited,Midcap,"4,345.05",30.08,0.52,44.85,144.66,"3,622.25","5,535.85",20.36%,-0.45%,40.02%,Data not found,4.41,4.49,15.53%,3.06%,18.11%,3.83,3.82,hold,4491.222,Neutral,
AUROPHARMA,Aurobindo Pharma Limited,Midcap,"1,147.70",19.19,0.64,43.85,59.81,958.50,"1,592.00",10.85%,26.62%,11.29%,21.25%,0.96,1.98,11.18%,6.46%,22.03%,2.17,0.27,buy,1503.2142,Neutral,
ABCAPITAL,Aditya Birla Capital Limited,Midcap,160.62,11.35,1.22,35.29,14.13,160.00,246.90,26.58%,32.53%,12.73%,Data not found,3.14,3.28,13.63%,1.67%,7.15%,1.46,3.99,strong_buy,246.44444,Neutral,
APLAPOLLO,APL Apollo Tubes Limited,Midcap,"1,406.60",60.11,0.79,32.71,22.86,"1,305.00","1,728.95",12.19%,-10.96%,3.18%,5.43%,0.61,1.34,22.16%,9.80%,2.07%,,0.27,buy,1771.0625,Neutral,
SAIL,Steel Authority of India Limited,Midcap,102.17,18.41,1.71,40.71,5.43,99.50,175.35,-5.26%,-27.69%,2.23%,10.11%,0.20,0.90,5.48%,2.79%,-8.51%,0.72,0.72,none,111.76923,Neutral,
ASHOKLEY,Ashok Leyland Limited,Midcap,203.71,22.79,0.83,43.18,8.94,157.55,264.65,4.04%,23.17%,5.65%,18.23%,0.41,1.15,23.31%,7.39%,33.01%,5.81,3.33,buy,250.89474,Neutral,
MAXHEALTH,Max Healthcare Institute Limited,Midcap,"1,019.95",98.37,0.27,39.86,10.31,706.45,"1,227.95",25.86%,-4.98%,15.42%,24.93%,1.19,1.37,13.37%,7.21%,64.19%,,0.2,buy,1148.8096,Neutral,
LTF,L&T Finance Limited,Midcap,140.97,13.77,1.29,43.94,10.24,129.20,194.25,10.42%,12.34%,32.27%,Data not found,2.09,2.12,10.27%,2.22%,-17.40%,1.45,3.49,buy,178.7143,Neutral,
PETRONET,Petronet LNG Limited,Midcap,313.30,12.44,0.54,41.49,24.29,253.40,384.20,-0.66%,3.93%,6.94%,9.19%,2.72,3.10,22.36%,11.57%,55.49%,2.4,0.15,hold,327.15625,Neutral,
OFSS,Oracle Financial Services Software Limited,Midcap,"9,135.00",34.52,0.46,34.81,262.84,"7,022.55","13,220.00",9.22%,6.89%,33.90%,44.56%,5.48,6.10,30.74%,19.61%,203.77%,,0.0,none,11400.0,Neutral,
PERSISTENT,Persistent Systems Limited,Midcap,"5,828.35",68.33,0.72,42.45,85.30,"3,232.05","6,788.90",19.17%,27.23%,11.66%,15.41%,1.78,2.20,24.13%,12.24%,75.02%,14.67,0.08,hold,6137.8486,Neutral,
PIIND,PI Industries Limited,Midcap,"3,407.50",30.52,0.68,39.32,111.99,"3,327.50","4,804.05",5.89%,6.69%,21.42%,27.30%,2.98,3.90,21.11%,11.22%,4.96%,,0.02,buy,4130.7036,Neutral,
OBEROIRLTY,Oberoi Realty Limited,Midcap,"1,704.75",24.02,0.66,34.44,70.97,"1,283.85","2,343.65",31.59%,59.41%,47.34%,59.96%,0.68,3.89,14.79%,7.78%,60.15%,4.19,0.14,none,2067.75,Neutral,
INDUSTOWER,Indus Towers Limited,Midcap,348.20,9.32,0.35,47.9,37.37,206.35,460.35,5.07%,80.45%,33.82%,60.73%,0.91,1.44,34.76%,15.72%,68.10%,2.84,0.63,hold,409.5,Neutral,
HDFCAMC,HDFC Asset Management Company Limited,Midcap,"3,665.75",33.42,0.75,38.12,110.24,"3,415.55","4,864.00",31.73%,32.39%,60.80%,81.00%,27.16,27.32,29.47%,22.04%,31.18%,11.59,,buy,4721.8,Neutral,
CGPOWER,CG Power and Industrial Solutions Limited,Midcap,565.15,96.21,1.33,38.07,6.11,421.00,874.70,20.50%,-41.88%,10.02%,12.85%,1.26,1.64,36.22%,12.54%,60.37%,25.48,0.01,buy,747.0,Neutral,
SUZLON,Suzlon Energy Limited,Midcap,49.90,62.04,1.44,37.33,0.84,35.50,86.04,54.09%,56.97%,12.35%,15.32%,0.98,1.96,26.87%,8.37%,63.30%,14.62,0.04,strong_buy,72.14286,Neutral,
IDEA,Vodafone Idea Limited,Midcap,8.82,,0.61,49.76,-4.45,6.61,19.18,0.48%,Data not found,-66.28%,25.50%,0.32,0.64,-,-1.52%,27.33%,,,hold,8.04545,Neutral,
SUPREMEIND,The Supreme Industries Limited,Midcap,"3,900.00",48.49,0.83,43.04,80.43,"3,452.05","6,460.00",7.22%,-4.89%,9.80%,14.22%,1.41,2.58,22.49%,12.87%,3.47%,9.34,0.01,buy,4778.2,Neutral,
IDFCFIRSTB,IDFC First Bank Limited,Midcap,61.70,23.43,0.94,47.16,2.65,56.43,86.10,8.74%,-40.63%,Data not found,Data not found,Data not found,Data not found,5.87%,1.10%,-26.41%,,,none,67.0,Neutral,
AUBANK,AU Small Finance Bank Limited,Midcap,570.70,21.03,1.07,42.88,27.14,534.45,755.40,33.44%,14.67%,Data not found,Data not found,Data not found,Data not found,13.04%,1.54%,-20.98%,2.65,,hold,663.95654,Neutral,
