Stock Symbol,Full Name,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price,News Sentiment,Revenue Growth (YoY) Score,EPS Growth Score,RSI Score,Analyst Target Price Score,Beta Score,Profit Margin Score,EBITDA Margin Score,Return on Equity (ROE) Score,Debt/Equity Ratio Score,Return on Assets (ROA) Score,Expert Recommendation Score,News Sentiment Score,Total Score,Rank
SAIL,Steel Authority of India Limited,Midcap,102.17,18.41,1.71,40.71,5.43,99.5,175.35,-5.26,-27.69,2.23,10.11,0.2,0.9,5.48,2.79,-8.51,0.72,0.72,none,111.77,Neutral,2,1,10,4,4,2,4,4,8,4,0,6,4.03,48.0
ASHOKLEY,Ashok Leyland Limited,Midcap,203.71,22.79,0.83,43.18,8.94,157.55,264.65,4.04,23.17,5.65,18.23,0.41,1.15,23.31,7.39,33.01,5.81,3.33,buy,250.89,Neutral,4,8,10,8,10,4,8,8,2,8,8,6,7.419999999999999,22.0
MAXHEALTH,Max Healthcare Institute Limited,Midcap,1019.95,98.37,0.27,39.86,10.31,706.45,1227.95,25.86,-4.98,15.42,24.93,1.19,1.37,13.37,7.21,64.19,,0.2,buy,1148.81,Neutral,10,1,10,6,4,6,8,6,10,8,8,6,7.170000000000001,24.0
LTF,L&T Finance Limited,Midcap,140.97,13.77,1.29,43.94,10.24,129.2,194.25,10.42,12.34,32.27,,2.09,2.12,10.27,2.22,-17.4,1.45,3.49,buy,178.71,Neutral,8,6,10,8,6,10,0,6,2,4,8,6,6.719999999999999,33.0
PETRONET,Petronet LNG Limited,Midcap,313.3,12.44,0.54,41.49,24.29,253.4,384.2,-0.66,3.93,6.94,9.19,2.72,3.1,22.36,11.57,55.49,2.4,0.15,hold,327.16,Neutral,2,4,10,4,8,4,4,8,10,10,6,6,6.159999999999999,36.0
OFSS,Oracle Financial Services Software Limited,Midcap,9135.0,34.52,0.46,34.81,262.84,7022.55,13220.0,9.22,6.89,33.9,44.56,5.48,6.1,30.74,19.61,203.77,,0.0,none,11400.0,Neutral,6,6,10,8,4,10,10,10,10,10,0,6,8.48,12.0
PERSISTENT,Persistent Systems Limited,Midcap,5828.35,68.33,0.72,42.45,85.3,3232.05,6788.9,19.17,27.23,11.66,15.41,1.78,2.2,24.13,12.24,75.02,14.67,0.08,hold,6137.85,Neutral,8,10,10,4,8,4,6,8,10,10,6,6,8.160000000000002,15.0
PIIND,PI Industries Limited,Midcap,3407.5,30.52,0.68,39.32,111.99,3327.5,4804.05,5.89,6.69,21.42,27.3,2.98,3.9,21.11,11.22,4.96,,0.02,buy,4130.7,Neutral,6,6,10,8,8,8,10,8,10,10,8,6,8.52,11.0
OBEROIRLTY,Oberoi Realty Limited,Midcap,1704.75,24.02,0.66,34.44,70.97,1283.85,2343.65,31.59,59.41,47.34,59.96,0.68,3.89,14.79,7.78,60.15,4.19,0.14,none,2067.75,Neutral,10,10,10,8,8,10,10,6,10,8,0,6,9.280000000000001,4.0
INDUSTOWER,Indus Towers Limited,Midcap,348.2,9.32,0.35,47.9,37.37,206.35,460.35,5.07,80.45,33.82,60.73,0.91,1.44,34.76,15.72,68.1,2.84,0.63,hold,409.5,Neutral,6,10,10,6,4,10,10,10,8,10,6,6,8.96,6.0
HDFCAMC,HDFC Asset Management Company Limited,Midcap,3665.75,33.42,0.75,38.12,110.24,3415.55,4864.0,31.73,32.39,60.8,81.0,27.16,27.32,29.47,22.04,31.18,11.59,,buy,4721.8,Neutral,10,10,10,8,8,10,10,10,0,10,8,6,9.62,2.0
CGPOWER,CG Power and Industrial Solutions Limited,Midcap,565.2,96.21,1.33,38.07,6.11,421.0,874.7,20.5,-41.88,10.02,12.85,1.26,1.64,36.22,12.54,60.37,25.48,0.01,buy,747.0,Neutral,10,1,10,10,6,4,6,10,10,10,8,6,7.870000000000001,19.0
SUZLON,Suzlon Energy Limited,Midcap,49.9,62.04,1.44,37.33,0.84,35.5,86.04,54.09,56.97,12.35,15.32,0.98,1.96,26.87,8.37,63.3,14.62,0.04,strong_buy,72.14,Neutral,10,10,10,10,6,6,6,10,10,8,0,6,8.98,5.0
IDEA,Vodafone Idea Limited,Midcap,8.82,,0.61,49.76,-4.45,6.61,19.18,0.48,,-66.28,25.5,0.32,0.64,,-1.52,27.33,,,hold,8.05,Neutral,2,0,10,2,8,2,10,0,0,2,6,6,3.6600000000000006,50.0
SUPREMEIND,The Supreme Industries Limited,Midcap,3900.0,48.49,0.83,43.04,80.43,3452.05,6460.0,7.22,-4.89,9.8,14.22,1.41,2.58,22.49,12.87,3.47,9.34,0.01,buy,4778.2,Neutral,6,1,10,8,10,4,6,8,10,10,8,6,7.069999999999999,27.0
IDFCFIRSTB,IDFC First Bank Limited,Midcap,61.7,23.43,0.94,47.16,2.65,56.43,86.1,8.74,-40.63,,,,,5.87,1.1,-26.41,,,none,67.0,Neutral,6,1,10,4,10,0,0,4,0,4,0,6,3.9299999999999997,49.0
AUBANK,AU Small Finance Bank Limited,Midcap,570.7,21.03,1.07,42.88,27.14,534.45,755.4,33.44,14.67,,,,,13.04,1.54,-20.98,2.65,,hold,663.96,Neutral,10,6,10,6,10,0,0,6,0,4,6,6,5.859999999999999,39.0
