Stock Symbol,Theme,Current Price,P/E Ratio,Beta,RSI,EPS (ttm),52-Week Low,52-Week High,Revenue Growth (YoY),EPS Growth,Profit Margin,EBITDA Margin,Quick Ratio,Current Ratio,Return on Equity (ROE),Return on Assets (ROA),Market Cap Growth,PB Ratio,Debt / Equity,Expert Recommendation,Analyst Target Price
GLAND,Pharma,"1,436.90",34.31,0.31,17.78,41.98,"1,428.00","2,220.95",36.81%,-1.05%,11.74%,21.35%,2.80,4.16,8.09%,5.27%,7.24%,2.70,0.04,hold,1805.25
MANKIND,Pharma,"2,473.00",48.30,n/a,38.16,50.81,"1,901.05","3,054.80",17.04%,17.96%,17.54%,24.85%,2.02,3.10,22.58%,12.41%,Data not found,9.31,0.04,buy,2822.8125
GLENMARK,Pharma,"1,369.55",n/a,0.93,28.02,-31.02,771.00,"1,830.95",-4.88%,-,-6.69%,16.01%,0.76,1.46,-10.93%,6.32%,95.63%,2.34,0.21,buy,1741.4615
TORNTPHARM,Pharma,"3,303.25",60.62,0.26,56.19,55.03,"2,441.45","3,590.70",7.90%,24.61%,16.48%,32.52%,0.59,1.03,25.38%,10.69%,45.77%,n/a,0.42,buy,3635.0344
CIPLA,Pharma,"1,396.10",25.21,0.36,31.61,55.38,"1,312.00","1,702.05",7.90%,29.53%,17.04%,24.99%,2.62,3.84,16.73%,10.85%,39.49%,3.98,0.02,buy,1640.9722
ALKEM,Pharma,"4,930.70",27.96,0.44,27.46,177.51,"4,407.05","6,439.90",3.89%,48.12%,16.54%,20.09%,1.15,2.66,19.53%,8.99%,67.86%,5.16,0.12,hold,5801.952
DIVISLAB,Pharma,"5,529.95",80.65,0.35,33.81,69.15,"3,350.00","6,285.45",17.27%,37.86%,21.31%,29.73%,4.48,7.24,13.91%,9.12%,44.57%,10.80,0.00,hold,5570.852
ZYDUSLIFE,Pharma,936.00,21.76,0.47,36.01,42.65,733.55,"1,324.30",14.42%,53.76%,20.03%,28.79%,1.34,2.27,19.57%,11.74%,72.72%,4.25,0.01,hold,1084.0938
DRREDDY,Pharma,"1,197.65",18.59,0.33,25.59,64.35,"1,120.00","1,421.49",14.74%,2.68%,17.24%,27.48%,1.18,1.92,18.47%,10.32%,19.80%,n/a,0.16,hold,1347.5349
NATCOPHARM,Pharma,"1,175.65",10.83,0.55,33.73,108.58,828.00,"1,639.00",28.06%,74.52%,42.61%,52.01%,3.87,4.96,31.23%,18.89%,62.65%,2.95,0.03,hold,1349.1666
LUPIN,Pharma,"2,079.00",36.10,0.59,38.58,57.41,"1,436.35","2,402.90",15.19%,97.05%,12.26%,21.46%,1.01,1.88,18.27%,9.52%,87.33%,n/a,0.22,buy,2243.1428
IPCALAB,Pharma,"1,442.55",55.37,0.26,32.47,26.05,"1,052.00","1,755.90",27.75%,34.26%,7.75%,16.76%,1.13,2.37,8.51%,5.80%,60.11%,5.46,0.15,buy,1591.05
BIOCON,Pharma,358.50,30.85,0.43,49.44,12.00,244.55,404.70,9.52%,187.81%,9.66%,21.39%,0.59,0.96,7.31%,1.77%,33.71%,2.17,0.63,buy,373.66666
AUROPHARMA,Pharma,"1,154.40",19.19,0.63,41.37,61.31,958.50,"1,592.00",12.41%,54.79%,11.82%,21.11%,0.85,1.83,12.13%,6.77%,58.35%,2.22,0.27,buy,1535.25
AJANTPHARM,Pharma,"2,670.00",38.30,0.14,35.61,69.60,"1,998.35","3,485.00",15.06%,33.95%,19.48%,27.83%,1.93,3.07,24.45%,15.31%,76.42%,9.09,0.01,buy,3018.5
JBCHEPHARM,Pharma,"1,761.65",44.80,-0.02,44.78,38.43,"1,480.00","2,030.00",11.35%,24.51%,16.47%,26.00%,1.98,3.08,20.61%,12.94%,26.70%,n/a,0.03,buy,2193.6924
LAURUSLABS,Pharma,602.65,144.43,1.12,34.34,3.70,368.30,619.40,5.85%,6.62%,3.80%,16.44%,0.58,1.23,3.98%,3.08%,40.17%,6.93,0.67,hold,511.64285
ABBOTINDIA,Pharma,"26,000",43.89,0.01,27.34,604.57,"25,200","30,668",7.58%,18.79%,21.18%,24.74%,1.08,2.25,38.75%,19.22%,25.90%,n/a,0.02,buy,29052.857
GRANULES,Pharma,524.10,27.51,0.21,39.00,19.75,389.35,721.00,-1.46%,21.20%,10.74%,21.24%,0.66,1.40,13.38%,7.83%,45.94%,n/a,0.32,buy,666.5
SUNPHARMA,Pharma,"1,786.85",38.75,0.60,46.06,46.11,"1,355.20","1,960.35",8.64%,29.51%,21.97%,27.43%,1.92,2.67,16.77%,8.54%,66.29%,6.19,0.04,buy,2066.4167
YESBANK,Midcap,18.49,26.44,0.53,43.23,0.70,17.06,32.85,20.89%,98.91%,Data not found,Data not found,Data not found,Data not found,4.08%,0.46%,42.05%,1.22,n/a,underperform,16.0
SRF,Midcap,"2,570.40",67.45,0.59,63.01,38.09,"2,089.10","2,697.70",-1.83%,-34.87%,8.36%,17.53%,0.46,1.03,9.88%,5.12%,11.06%,n/a,0.44,hold,2303.6785
SBICARD,Midcap,770.50,32.41,0.37,60.12,23.25,647.95,817.40,1.30%,-4.19%,20.77%,Data not found,20.66,20.66,18.31%,3.94%,-1.73%,5.48,3.30,hold,716.75
FEDERALBNK,Midcap,192.92,11.69,0.94,45.62,16.34,139.65,217.00,15.51%,-4.21%,Data not found,Data not found,Data not found,Data not found,14.85%,1.35%,29.21%,1.44,n/a,buy,226.05882
MARICO,Midcap,660.50,53.49,0.25,57.16,12.26,486.30,719.85,3.56%,12.68%,15.87%,20.53%,1.17,2.04,33.74%,14.90%,24.13%,n/a,0.10,buy,708.3421
COLPAL,Midcap,"2,708.60",50.15,0.38,42.01,54.02,"2,476.25","3,890.00",10.39%,25.24%,24.48%,33.16%,1.01,1.31,86.00%,36.23%,89.63%,n/a,0.04,hold,3052.0
